type	x	y	z	density
t = 0
0	0	0	0	0.534447
0	0	0	1	1.035491
0	0	0	2	1.068894
0	0	0	3	0.233820
0	0	0	4	1.102296
0	0	0	5	1.837161
0	0	0	6	1.569937
0	0	0	7	1.803758
0	0	0	8	0.835073
0	0	0	9	0.901879
0	0	0	10	0.868476
0	0	0	11	1.002088
0	0	0	12	0.668058
0	0	0	13	0.835073
0	0	0	14	0.668058
0	0	0	15	0.734864
0	0	0	16	0.300626
0	0	0	17	0.534447
0	0	0	18	0.467641
0	0	0	19	0.734864
0	0	1	0	0.334029
0	0	1	1	0.233820
0	0	1	2	0.167015
0	0	1	3	0.334029
0	0	1	4	1.235908
0	0	1	5	1.603340
0	0	1	6	1.770355
0	0	1	7	1.436326
0	0	1	8	1.169102
0	0	1	9	1.235908
0	0	1	10	1.937370
0	0	1	11	1.202505
0	0	1	12	1.536534
0	0	1	13	0.534447
0	0	1	14	0.434238
0	0	1	15	0.100209
0	0	1	16	0.167015
0	0	1	17	0.434238
0	0	1	18	0.200418
0	0	1	19	1.135699
0	0	2	0	0.400835
0	0	2	1	0.801670
0	0	2	2	0.768267
0	0	2	3	0.734864
0	0	2	4	1.068894
0	0	2	5	2.839248
0	0	2	6	2.872651
0	0	2	7	2.405010
0	0	2	8	2.405010
0	0	2	9	1.603340
0	0	2	10	2.037578
0	0	2	11	1.703549
0	0	2	12	1.002088
0	0	2	13	0.334029
0	0	2	14	0.334029
0	0	2	15	0.100209
0	0	2	16	1.135699
0	0	2	17	1.269311
0	0	2	18	0.734864
0	0	2	19	0.033403
0	0	3	0	0.701461
0	0	3	1	1.503132
0	0	3	2	1.536534
0	0	3	3	0.835073
0	0	3	4	0.367432
0	0	3	5	1.202505
0	0	3	6	3.206681
0	0	3	7	1.937370
0	0	3	8	0.868476
0	0	3	9	1.068894
0	0	3	10	1.469729
0	0	3	11	1.269311
0	0	3	12	1.068894
0	0	3	13	0.400835
0	0	3	14	0.066806
0	0	3	15	0.133612
0	0	3	16	1.235908
0	0	3	17	1.202505
0	0	3	18	0.434238
0	0	3	19	0.033403
0	0	4	0	0.601253
0	0	4	1	1.369520
0	0	4	2	0.868476
0	0	4	3	1.770355
0	0	4	4	1.068894
0	0	4	5	1.636743
0	0	4	6	2.739040
0	0	4	7	2.037578
0	0	4	8	0.901879
0	0	4	9	0.167015
0	0	4	10	0.467641
0	0	4	11	0.100209
0	0	4	12	0.000000
0	0	4	13	0.668058
0	0	4	14	0.734864
0	0	4	15	0.233820
0	0	4	16	0.334029
0	0	4	17	0.167015
0	0	4	18	0.200418
0	0	4	19	0.367432
0	0	5	0	0.233820
0	0	5	1	0.734864
0	0	5	2	0.901879
0	0	5	3	2.171190
0	0	5	4	2.371608
0	0	5	5	2.672234
0	0	5	6	2.471816
0	0	5	7	1.870564
0	0	5	8	2.070981
0	0	5	9	1.169102
0	0	5	10	0.935282
0	0	5	11	0.267223
0	0	5	12	0.567850
0	0	5	13	1.369520
0	0	5	14	2.070981
0	0	5	15	0.233820
0	0	5	16	0.734864
0	0	5	17	0.267223
0	0	5	18	0.300626
0	0	5	19	0.400835
0	0	6	0	0.300626
0	0	6	1	0.267223
0	0	6	2	1.169102
0	0	6	3	1.837161
0	0	6	4	2.939457
0	0	6	5	0.567850
0	0	6	6	1.269311
0	0	6	7	1.436326
0	0	6	8	1.135699
0	0	6	9	0.501044
0	0	6	10	0.801670
0	0	6	11	0.267223
0	0	6	12	0.367432
0	0	6	13	1.536534
0	0	6	14	1.569937
0	0	6	15	0.968685
0	0	6	16	0.968685
0	0	6	17	1.202505
0	0	6	18	1.035491
0	0	6	19	0.367432
0	0	7	0	0.868476
0	0	7	1	0.634656
0	0	7	2	1.803758
0	0	7	3	1.736952
0	0	7	4	1.770355
0	0	7	5	0.467641
0	0	7	6	0.400835
0	0	7	7	0.334029
0	0	7	8	0.100209
0	0	7	9	0.400835
0	0	7	10	0.367432
0	0	7	11	0.868476
