type	x	y	z	density
t = 0
0	0	0	0	-0.017119
0	0	0	1	0.511931
0	0	0	2	0.487091
0	0	0	3	1.676955
0	0	0	4	0.904108
0	0	0	5	0.039109
0	0	0	6	0.000152
0	0	0	7	0.001843
0	0	1	0	-0.310270
0	0	1	1	-0.095629
0	0	1	2	-0.118808
0	0	1	3	-0.164418
0	0	1	4	0.021034
0	0	1	5	0.001686
0	0	1	6	0.000291
0	0	1	7	0.193038
0	0	2	0	0.374771
0	0	2	1	1.358958
0	0	2	2	1.026527
0	0	2	3	0.003676
0	0	2	4	-0.025716
0	0	2	5	0.000000
0	0	2	6	-0.031676
0	0	2	7	0.412603
0	0	3	0	0.316231
0	0	3	1	1.054807
0	0	3	2	0.746536
0	0	3	3	0.125842
0	0	3	4	0.429570
0	0	3	5	0.012338
0	0	3	6	-0.010485
0	0	3	7	0.427986
0	0	4	0	0.423049
0	0	4	1	1.479669
0	0	4	2	0.474500
0	0	4	3	0.615987
0	0	4	4	1.144144
0	0	4	5	0.351698
0	0	4	6	0.015022
0	0	4	7	-0.189969
0	0	5	0	0.012255
0	0	5	1	0.539554
0	0	5	2	1.225044
0	0	5	3	0.492070
0	0	5	4	0.695628
0	0	5	5	0.470391
0	0	5	6	0.227789
0	0	5	7	1.613427
0	0	6	0	0.059412
0	0	6	1	0.255526
0	0	6	2	0.304313
0	0	6	3	0.163935
0	0	6	4	0.451018
0	0	6	5	0.199104
0	0	6	6	0.225352
0	0	6	7	0.418533
0	0	7	0	-0.006041
0	0	7	1	0.250676
0	0	7	2	0.352452
0	0	7	3	0.328244
0	0	7	4	0.641135
0	0	7	5	0.361933
0	0	7	6	0.058529
0	0	7	7	0.000000
0	1	0	0	-0.084092
0	1	0	1	0.552480
0	1	0	2	0.297471
0	1	0	3	0.701776
0	1	0	4	0.291341
0	1	0	5	0.015664
0	1	0	6	0.000000
0	1	0	7	-0.008947
0	1	1	0	1.271253
0	1	1	1	1.475306
0	1	1	2	-0.088670
0	1	1	3	0.120544
0	1	1	4	0.007459
0	1	1	5	0.000770
0	1	1	6	-0.016354
0	1	1	7	-0.100235
0	1	2	0	-0.068758
0	1	2	1	0.021529
0	1	2	2	-0.069713
0	1	2	3	-0.057657
0	1	2	4	-0.002573
0	1	2	5	0.000000
0	1	2	6	-0.005637
0	1	2	7	-0.102994
0	1	3	0	0.720843
0	1	3	1	1.242832
0	1	3	2	0.732716
0	1	3	3	0.299788
0	1	3	4	0.135067
0	1	3	5	-0.002581
0	1	3	6	0.004344
0	1	3	7	0.198980
0	1	4	0	0.532698
0	1	4	1	0.535043
0	1	4	2	0.521215
0	1	4	3	0.704403
0	1	4	4	0.838540
0	1	4	5	0.045422
0	1	4	6	-0.038275
0	1	4	7	1.343073
0	1	5	0	0.469698
0	1	5	1	0.863977
0	1	5	2	0.434614
0	1	5	3	0.575202
0	1	5	4	0.403160
0	1	5	5	0.039094
0	1	5	6	0.047489
0	1	5	7	0.890026
0	1	6	0	-0.066738
0	1	6	1	0.968463
0	1	6	2	0.451236
0	1	6	3	0.199985
