t	mesh_energy	bond_energy	total_energy	acceptance_rate
0	450.855373	9311.793844	9762.649216	0.250000
10000	786.218512	9317.774575	10103.993087	0.205801
20000	635.859379	9095.668862	9731.528241	0.205745
30000	1255.317019	9111.219358	10366.536377	0.205637
40000	454.883109	9180.400907	9635.284016	0.205980
50000	716.313929	9110.644171	9826.958100	0.205949
60000	657.792869	9268.425844	9926.218713	0.205956
70000	267.610971	9648.116201	9915.727173	0.206019
80000	360.972872	9901.564689	10262.537560	0.206043
90000	634.253087	8879.858035	9514.111122	0.206072
100000	660.347718	9175.529251	9835.876969	0.206181
110000	620.596480	9210.718842	9831.315322	0.206198
120000	542.589618	9089.244570	9631.834187	0.206164
130000	909.771375	8925.828683	9835.600058	0.206145
140000	502.289298	9015.399700	9517.688997	0.206083
150000	559.209455	9040.035684	9599.245139	0.206035
160000	502.728066	9109.278988	9612.007054	0.206086
170000	489.803176	9091.902260	9581.705436	0.206099
180000	768.337150	9071.070327	9839.407477	0.206063
190000	500.465844	8964.528659	9464.994503	0.206028
200000	403.296442	9101.467468	9504.763909	0.206049

End of Equilibration

0	502.669262	9290.872935	9793.542198	0.235156
10000	615.272213	8946.297156	9561.569369	0.205411
20000	1079.601048	9175.838227	10255.439276	0.205652
30000	493.643249	9197.288856	9690.932106	0.205668
40000	456.374019	10241.341225	10697.715243	0.205961
50000	1070.304504	9370.779443	10441.083947	0.205934
60000	753.251623	9106.378730	9859.630352	0.206092
70000	624.760504	9408.399833	10033.160338	0.206123
80000	981.654665	9064.344731	10045.999396	0.206061
90000	1065.128784	9502.682565	10567.811349	0.206018
100000	591.419201	9482.639978	10074.059179	0.206139
110000	754.191188	9009.117790	9763.308978	0.206175
120000	812.127928	9235.672712	10047.800640	0.206217
130000	384.846289	9852.243729	10237.090018	0.206202
140000	538.652841	9185.397928	9724.050768	0.206242
150000	456.836535	8826.483482	9283.320017	0.206276
160000	402.383855	9706.707132	10109.090987	0.206257
170000	537.913444	9273.596932	9811.510376	0.206263
180000	771.340590	9009.898367	9781.238957	0.206283
190000	722.149840	8975.557062	9697.706902	0.206231
200000	542.973742	9258.174454	9801.148196	0.206218
210000	718.161646	9481.818533	10199.980179	0.206236
220000	748.089502	9215.040649	9963.130151	0.206238
230000	752.948644	9210.785510	9963.734154	0.206220
240000	550.633113	9422.347844	9972.980957	0.206242
250000	557.199590	9526.199747	10083.399338	0.206264
260000	814.104874	9741.802036	10555.906910	0.206265
270000	532.297432	9754.734511	10287.031943	0.206269
280000	395.066118	9615.693787	10010.759905	0.206284
290000	588.546973	9008.123388	9596.670361	0.206268
300000	1156.192611	9450.996925	10607.189536	0.206256
310000	455.401910	9279.058260	9734.460170	0.206236
320000	711.480225	9211.416343	9922.896568	0.206239
330000	448.072976	9115.580907	9563.653882	0.206231
340000	704.360630	9486.987678	10191.348307	-0.211761
350000	461.968598	9100.994497	9562.963095	-0.224764
360000	886.459300	9204.051225	10090.510525	-0.238630
370000	555.336439	8995.212152	9550.548591	-0.253404
380000	562.925860	9174.125760	9737.051620	-0.269194
390000	840.515547	9082.565137	9923.080684	-0.286103
400000	643.370954	9024.521882	9667.892836	-0.304280
410000	500.040995	9154.903075	9654.944069	-0.323844
420000	667.345240	9880.441373	10547.786613	-0.344962
430000	622.398801	8981.990453	9604.389254	-0.367857
440000	761.254335	9252.900279	10014.154613	-0.392701
450000	500.452486	9407.234120	9907.686605	-0.419825
460000	994.671967	9054.424804	10049.096771	-0.449516
470000	1413.434556	9236.943743	10650.378300	-0.482097
480000	419.547508	9551.391030	9970.938538	-0.518148
490000	437.649711	9121.083713	9558.733424	-0.558168
500000	557.561607	9216.895292	9774.456900	-0.602882
510000	585.695616	9099.316246	9685.011863	-0.653135
520000	863.286871	9991.332742	10854.619614	-0.709992
530000	646.405976	8897.799841	9544.205817	-0.775013
540000	530.644976	9181.508620	9712.153596	-0.849914
550000	964.244412	9211.012807	10175.257219	-0.937124
560000	631.499360	8891.764731	9523.264091	-1.040087
570000	770.350273	9401.033097	10171.383370	-1.163368
580000	554.48
